ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
SNGSP,2025-09-09,12:17,"МД Медикал Груп объявляет об открытии клиники репродуктивного здоровья в Сургуте — компания || Экспорт нефтепродуктов за последнюю неделю августа упал на 14–22%, что объясняется ростом простоев НПЗ и высоким внутренним спросом — Ъ",https://smart-lab.ru/blog/1202557.php || https://smart-lab.ru/blog/1202624.php,44.995,42.94,42.88,42.155,42.26,43.355,43.37,43.705,44.21,44.22,44.24,44.57,44.41,44.935,45.235,45.58,45.445,45.665,45.92,46.335,46.255,45.89,45.41,45.3,45.065,45.08,44.79,44.625,44.73,45.19,45.205,44.922220894831845,-0.16
SNGSP,2025-09-11,15:12,"Россия в августе 2025г снизила добычу нефти на 30 тыс б/с м/м - до 9,28 млн б/с — Международное энергетическое агентство (МЭА) || ОПЕК: Добыча нефти в России в августе 2025г увеличилась на 50 тыс бс м/м до 9,173 млн б/с",https://smart-lab.ru/blog/1203561.php || https://smart-lab.ru/blog/1203688.php,45.075,45.515,44.425,42.94,42.88,42.155,42.26,43.355,43.37,43.705,44.21,44.22,44.24,44.57,44.41,44.935,45.235,45.58,45.445,45.665,45.92,46.335,46.255,45.89,45.41,45.3,45.065,45.08,44.79,44.625,44.73,44.722013777749865,-0.78
