ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
RTKM,2025-09-12,12:18,"Ростелеком приобрел контрольную долю в группе компаний АСТОР, лидере рынка автоматизации розничной торговли — компания",https://smart-lab.ru/blog/1204054.php,67.7,68.96,69.86,69.75,69.98,69.7,70.2,70.78,72.16,72.16,72.53,73.99,73.55,72.04,69.96,69.56,70.5,69.93,70.59,71.3,69.4,69.5,72.42,70.44,68.92,68.08,68.83,65.28,63.64,62.85,61.87,68.11505638261863,0.61
RTKM,2025-10-31,11:39,"Звонки только на мобильные номера, проблемы с онлайн-доставкой и обязательный запас наличных: россияне привыкают к жизни без мобильного интернета — Ъ FM",https://smart-lab.ru/blog/1224696.php,60.24,59.55,58.75,58.18,61.32,63.47,62.9,64.05,66.5,64.23,65.15,60.32,59.75,58.93,56.98,58.0,56.65,59.31,58.1,56.11,56.93,57.68,58.4,58.45,61.82,60.85,61.73,60.55,61.02,62.55,62.57,60.14957389756656,-0.15
RTKM,2025-11-27,16:09,"Российские производители телекомоборудования попросили Минцифры обязать операторов связи с 1 января 2027г закупать только отечественное радиорелейное оборудование — Ведомости || Ростелеком увеличил свою долю с 25,67% до 53,8% в разработчике цифровой платформы для e-commerce Imredi || Российские производители телекомоборудования попросили Минцифры обязать операторов связи с 1 января 2027г закупать только отечественное радиорелейное оборудование — Ведомости || Ростелеком увеличил свою долю с 25,67% до 53,8% в разработчике цифровой платформы для e-commerce Imredi",https://smart-lab.ru/blog/1235586.php || https://smart-lab.ru/blog/1235854.php || https://smart-lab.ru/blog/1235586.php || https://smart-lab.ru/blog/1235854.php,58.46,58.0,59.12,58.06,57.14,56.93,58.34,59.25,60.89,61.48,61.71,61.79,62.6,61.29,60.62,59.67,58.95,60.03,59.55,58.75,58.18,61.32,63.47,62.9,64.05,66.5,64.23,65.15,60.32,59.75,58.93,58.446982095180765,-0.02
