ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
GEMC,2025-09-09,11:39,"Глава ЕМС Андрей Яновский: Мы намерены держать маржу по EBITDA выше 40%, а по выручке целевой прирост примерно 10–12% в год — интервью Forbes",https://smart-lab.ru/blog/1202607.php,815.7,796.8,796.5,807.0,794.2,806.5,816.9,788.0,758.5,762.7,752.8,739.8,733.3,753.8,760.8,755.8,750.4,753.0,755.1,753.6,762.0,750.5,743.3,741.1,741.4,740.7,732.7,735.0,743.4,735.8,739.4,812.8496954994275,-0.35
GEMC,2025-10-31,22:06,"EMC приобретает долю в АО «Семейный Доктор» – одной из лидирующих сетей частных многопрофильных клиник в Москве и РФ || 📉 Акции EMC падают на 6,5% после объявления о покупке 75% акций сети клиник «Семейный доктор» || ЕМЦ приобрел 75% акций в сети клиник «Семейный доктор». Сумма сделки, по экспертным оценкам, могла достигнуть 15 млрд руб. Для ЕМЦ эта покупка — выход в новый сегмент рынка — Ъ",https://smart-lab.ru/blog/1224924.php || https://smart-lab.ru/blog/1224960.php || https://smart-lab.ru/blog/1224992.php,765.1,794.3,781.3,771.9,784.3,783.3,789.3,789.5,793.3,796.1,792.0,762.5,752.2,776.0,763.0,775.5,760.0,786.2,799.9,777.9,785.5,790.0,790.2,785.7,800.0,802.6,799.8,792.5,782.8,787.8,790.2,760.077970797259,-0.66
