ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
DELI,2025-09-11,16:58,"Основатель Делимобиля: Сейчас мы проводим оценку и переговоры о покупке активов другого каршерингового сервиса, но раскрывать детали пока не будем — интервью ""Ведомости"" || Делимобиль подтвердил планы по обратному выкупу акций || Делимобиль не исключает возможность допэмиссии в будущем, но решение по этому вопросу будет принято не раньше 2026г в зависимости от конъюнктуры на рынке — CFO компании",https://smart-lab.ru/blog/1203657.php || https://smart-lab.ru/blog/1203726.php || https://smart-lab.ru/blog/1203741.php,136.8,137.45,136.4,138.0,143.95,144.8,144.75,144.85,145.55,144.7,146.65,148.75,148.3,147.5,146.3,152.45,157.9,157.4,157.15,157.8,156.25,160.0,160.0,157.25,155.2,155.45,154.75,155.3,154.55,157.1,160.35,136.36858840781872,-0.32
DELI,2025-09-15,9:08,"Оборот в сегменте аренды авто летом увеличился на 24% г/г, а число транзакций выросло на 25% г/г — исследование ЮKassa",https://smart-lab.ru/blog/1204766.php,130.2,137.85,137.4,137.45,136.4,138.0,143.95,144.8,144.75,144.85,145.55,144.7,146.65,148.75,148.3,147.5,146.3,152.45,157.9,157.4,157.15,157.8,156.25,160.0,160.0,157.25,155.2,155.45,154.75,155.3,154.55,130.18499072542843,-0.01
DELI,2025-10-31,10:00,Делимобиль операционные результаты за III кв и 9М 2025 года: Автопарк за 9М составил 28 944 (–5% г/г) Количество проданных машин за III кв – 913 (+386% г/г) За 9М – 1 742 (+201% г/г),https://smart-lab.ru/blog/1224634.php,119.05,116.3,114.75,114.75,117.15,118.85,116.15,111.0,112.85,106.0,107.4,100.7,101.2,102.4,101.35,103.85,103.5,106.55,107.6,105.05,108.0,109.95,109.35,108.85,118.5,119.5,120.4,119.65,123.0,125.9,128.15,118.72159225877168,-0.28
DELI,2025-11-27,9:22,"Акции ДОМ.РФ, Озона и ЦИАНа с 19 декабря войдут в Индекс МосБиржи, Юнипро исключат, в базу Индекса голубых фишек войдут акции Озона и ВТБ — Мосбиржа меняет базы расчета Индексов || Акции ДОМ.РФ, Озона и ЦИАНа с 19 декабря войдут в Индекс МосБиржи, Юнипро исключат, в базу Индекса голубых фишек войдут акции Озона и ВТБ — Мосбиржа меняет базы расчета Индексов || Акции ДОМ.РФ, Озона и ЦИАНа с 19 декабря войдут в Индекс МосБиржи, Юнипро исключат, в базу Индекса голубых фишек войдут акции Озона и ВТБ — Мосбиржа меняет базы расчета Индексов || Акции ДОМ.РФ, Озона и ЦИАНа с 19 декабря войдут в Индекс МосБиржи, Юнипро исключат, в базу Индекса голубых фишек войдут акции Озона и ВТБ — Мосбиржа меняет базы расчета Индексов",https://smart-lab.ru/blog/1235602.php || https://smart-lab.ru/blog/1235602.php || https://smart-lab.ru/blog/1235602.php || https://smart-lab.ru/blog/1235602.php,120.65,122.75,125.5,119.95,119.7,118.2,122.15,120.2,121.0,119.55,120.3,120.7,119.65,120.3,119.95,118.35,119.05,121.95,116.3,114.75,114.75,117.15,118.85,116.15,111.0,112.85,106.0,107.4,100.7,101.2,102.4,119.58648815248768,-0.88
