ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
MTLR,2025-09-08,13:16,"РЖД в январе-августе снизили погрузку угля на Д.Востоке на 4%, нефти и нефтепродуктов – на 6,3% || Угольные компании Кемеровской области перенесли на более поздний срок реализацию каждого четвертого инвестпроекта — ТАСС со ссылкой на ЦБ РФ || Подкомиссия рассмотрела оказание индивидуальных мер поддержки более чем 42 угольным предприятиям РФ — министр энергетики Цивилев",https://smart-lab.ru/blog/1202051.php || https://smart-lab.ru/blog/1202120.php || https://smart-lab.ru/blog/1202180.php,81.14,79.72,79.92,79.36,79.02,81.58,81.22,85.7,87.11,87.0,88.55,87.67,90.86,91.02,91.21,90.33,90.87,91.23,90.73,90.12,90.3,89.35,87.71,86.54,86.59,84.99,84.79,85.09,85.52,84.87,87.7,80.71462981349028,-0.52
MTLR,2025-09-09,14:36,"Губернатор Кузбасса Илья Середюк: Из 151 угольного предприятия региона 30 находятся в красной зоне, работа 18 - приостановлена",https://smart-lab.ru/blog/1202700.php,82.58,80.11,79.72,79.92,79.36,79.02,81.58,81.22,85.7,87.11,87.0,88.55,87.67,90.86,91.02,91.21,90.33,90.87,91.23,90.73,90.12,90.3,89.35,87.71,86.54,86.59,84.99,84.79,85.09,85.52,84.87,82.75745945468307,0.21
MTLR,2025-09-12,10:47,"В августе в России произведено 4 млн т чугуна, 5,5 млн т стали, 4,9 млн то проката и 0,9 млн то труб, что на 6,8%, 4,5%, 2,3% и 18,3% меньше, чем годом ранее — данные Чермет",https://smart-lab.ru/blog/1204003.php,81.4,82.36,84.53,82.59,80.11,79.72,79.92,79.36,79.02,81.58,81.22,85.7,87.11,87.0,88.55,87.67,90.86,91.02,91.21,90.33,90.87,91.23,90.73,90.12,90.3,89.35,87.71,86.54,86.59,84.99,84.79,81.27855042927253,-0.15
MTLR,2025-09-15,8:34,"В начале сентября на азиатском рынке снизился спрос на энергетический и коксующийся уголь. Причины — похолодание, остановка ряда коксохимических производств в Китае и климатический фактор — Ъ",https://smart-lab.ru/blog/1204753.php,79.04,81.88,82.36,84.53,82.59,80.11,79.72,79.92,79.36,79.02,81.58,81.22,85.7,87.11,87.0,88.55,87.67,90.86,91.02,91.21,90.33,90.87,91.23,90.73,90.12,90.3,89.35,87.71,86.54,86.59,84.99,78.90791446539284,-0.17
MTLR,2025-10-31,18:06,"Мечел и Распадская смогут несколько улучшить свои финансовые показатели в 2026 на фоне снижения ставки ЦБ, но масштабного восстановления мы ожидаем не ранее 2027 г. — Синара || Энергетический и металлургический уголь из России с поставкой в Китай на третьей неделе октября подорожал на 4,6–4,7%, обновив максимумы с конца 2024г-начала 2025г — Ъ со ссылкой на NEFT Research",https://smart-lab.ru/blog/1224653.php || https://smart-lab.ru/blog/1224912.php,65.83,65.1,65.28,62.61,66.26,68.12,67.23,68.34,71.24,72.44,72.13,64.87,64.68,65.39,65.59,68.11,65.7,69.49,69.31,65.26,67.33,67.07,72.46,73.0,74.81,74.15,75.29,72.24,73.61,72.2,75.28,65.75247911574267,-0.12
MTLR,2025-11-24,7:43,Российские поставщики пылеугольного топлива усилили присутствие на индонезийском рынке на фоне растущего спроса со стороны местных сталелитейных компаний и проблем с добычей угля в самой Индонезии — Ъ,https://smart-lab.ru/blog/1233895.php,71.71,70.77,70.59,69.25,67.14,64.81,64.72,64.89,65.8,66.97,66.55,67.14,66.11,66.02,65.95,65.17,64.34,67.37,65.1,65.28,62.61,66.26,68.12,67.23,68.34,71.24,72.44,72.13,64.87,64.68,65.39,71.81695387626004,0.15
