ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
SVAV,2025-09-08,10:35,"Смягчение ДКП оживит авторынок, но прогнозы итогового падения в районе 20% окажутся близкими к истине — первый вице-премьер Мантуров",https://smart-lab.ru/blog/1202065.php,611.5,606.0,608.0,606.5,613.5,614.0,614.0,629.5,630.5,632.0,636.0,637.5,640.0,641.0,643.5,643.5,645.5,647.5,641.5,637.5,631.5,627.0,629.0,628.0,629.5,622.0,618.5,645.0,610.5,615.0,610.0,612.1975366725625,0.11
SVAV,2025-09-09,14:44,Продажи новых пикапов в августе 2025 года упали на 40% г/г и на 8% м/м — Автостат,https://smart-lab.ru/blog/1202708.php,608.5,603.5,606.0,608.0,606.5,613.5,614.0,614.0,629.5,630.5,632.0,636.0,637.5,640.0,641.0,643.5,643.5,645.5,647.5,641.5,637.5,631.5,627.0,629.0,628.0,629.5,622.0,618.5,645.0,610.5,615.0,606.8972022474873,-0.26
SVAV,2025-09-11,10:44,"Число автомобильных салонов в России по состоянию на 1 сентября с начала года снизилось на 9% — Forbes со ссылкой на аналитиков ""Яндекс.Карты""",https://smart-lab.ru/blog/1203536.php,626.0,609.5,610.5,603.5,606.0,608.0,606.5,613.5,614.0,614.0,629.5,630.5,632.0,636.0,637.5,640.0,641.0,643.5,643.5,645.5,647.5,641.5,637.5,631.5,627.0,629.0,628.0,629.5,622.0,618.5,645.0,624.2330665729613,-0.28
SVAV,2025-10-31,11:27,"У нас нет цели при помощи утильсбора ""закрыть"" рынок, чтобы наши производители жили в условиях отсутствия конкуренции — первый вице-премьер РФ Денис Мантуров в интервью РИА Новости",https://smart-lab.ru/blog/1224692.php,494.0,498.5,493.0,458.0,479.0,487.5,495.0,505.0,522.0,508.0,518.0,459.0,450.5,459.0,458.5,473.0,473.0,497.0,493.0,491.0,499.5,512.5,520.0,540.0,552.5,551.5,558.5,555.5,560.5,573.0,582.5,495.25316472499526,0.25
SVAV,2025-11-24,18:52,"УАЗ временно остановил производство ""Буханок"", ориентировочно до февраля 2026 года — ТАСС",https://smart-lab.ru/blog/1234333.php,546.0,553.0,567.0,544.0,535.0,539.0,585.0,546.5,524.5,504.0,505.5,509.5,510.5,509.0,517.5,494.0,492.0,496.0,498.5,493.0,458.0,479.0,487.5,495.0,505.0,522.0,508.0,518.0,459.0,450.5,459.0,545.837968341954,-0.03
