ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
MTLRP,2025-09-08,13:16,"РЖД в январе-августе снизили погрузку угля на Д.Востоке на 4%, нефти и нефтепродуктов – на 6,3% || Угольные компании Кемеровской области перенесли на более поздний срок реализацию каждого четвертого инвестпроекта — ТАСС со ссылкой на ЦБ РФ || Подкомиссия рассмотрела оказание индивидуальных мер поддержки более чем 42 угольным предприятиям РФ — министр энергетики Цивилев",https://smart-lab.ru/blog/1202051.php || https://smart-lab.ru/blog/1202120.php || https://smart-lab.ru/blog/1202180.php,80.55,79.9,79.45,78.8,78.45,79.45,78.85,82.0,82.15,82.25,83.1,82.35,84.45,84.55,85.0,84.65,85.0,84.55,85.3,85.35,84.6,82.75,82.65,80.9,81.2,79.05,79.0,78.45,79.15,77.55,79.45,80.13936673213466,-0.51
MTLRP,2025-09-09,14:36,"Губернатор Кузбасса Илья Середюк: Из 151 угольного предприятия региона 30 находятся в красной зоне, работа 18 - приостановлена",https://smart-lab.ru/blog/1202700.php,80.9,79.35,79.9,79.45,78.8,78.45,79.45,78.85,82.0,82.15,82.25,83.1,82.35,84.45,84.55,85.0,84.65,85.0,84.55,85.3,85.35,84.6,82.75,82.65,80.9,81.2,79.05,79.0,78.45,79.15,77.55,81.0403930578365,0.17
MTLRP,2025-09-12,10:47,"В августе в России произведено 4 млн т чугуна, 5,5 млн т стали, 4,9 млн то проката и 0,9 млн то труб, что на 6,8%, 4,5%, 2,3% и 18,3% меньше, чем годом ранее — данные Чермет",https://smart-lab.ru/blog/1204003.php,79.75,79.75,81.6,81.0,79.35,79.9,79.45,78.8,78.45,79.45,78.85,82.0,82.15,82.25,83.1,82.35,84.45,84.55,85.0,84.65,85.0,84.55,85.3,85.35,84.6,82.75,82.65,80.9,81.2,79.05,79.0,79.68464398898709,-0.08
MTLRP,2025-09-15,8:34,"В начале сентября на азиатском рынке снизился спрос на энергетический и коксующийся уголь. Причины — похолодание, остановка ряда коксохимических производств в Китае и климатический фактор — Ъ",https://smart-lab.ru/blog/1204753.php,78.45,80.4,79.75,81.6,81.0,79.35,79.9,79.45,78.8,78.45,79.45,78.85,82.0,82.15,82.25,83.1,82.35,84.45,84.55,85.0,84.65,85.0,84.55,85.3,85.35,84.6,82.75,82.65,80.9,81.2,79.05,78.36130617588604,-0.11
MTLRP,2025-10-31,18:06,"Мечел и Распадская смогут несколько улучшить свои финансовые показатели в 2026 на фоне снижения ставки ЦБ, но масштабного восстановления мы ожидаем не ранее 2027 г. — Синара || Энергетический и металлургический уголь из России с поставкой в Китай на третьей неделе октября подорожал на 4,6–4,7%, обновив максимумы с конца 2024г-начала 2025г — Ъ со ссылкой на NEFT Research",https://smart-lab.ru/blog/1224653.php || https://smart-lab.ru/blog/1224912.php,58.55,58.1,57.65,56.0,60.25,63.0,64.3,65.7,67.35,66.5,67.2,60.2,61.25,61.85,61.95,64.8,64.15,68.15,66.15,63.15,65.35,64.8,67.7,69.7,71.7,71.6,72.8,71.6,74.1,73.35,75.15,58.544064664404694,-0.01
MTLRP,2025-11-24,7:43,Российские поставщики пылеугольного топлива усилили присутствие на индонезийском рынке на фоне растущего спроса со стороны местных сталелитейных компаний и проблем с добычей угля в самой Индонезии — Ъ,https://smart-lab.ru/blog/1233895.php,64.0,62.95,62.8,61.75,60.6,59.4,59.5,59.6,60.4,61.45,61.0,60.8,60.05,59.55,59.65,58.45,57.9,59.75,58.1,57.65,56.0,60.25,63.0,64.3,65.7,67.35,66.5,67.2,60.2,61.25,61.85,64.08114266708897,0.13
