ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
MTSS,2025-09-11,13:01,Предзаказ на новый iPhone 17 в России оказался самым большим с 2023 года — РИА Новости со ссылкой на аналитиков МТС,https://smart-lab.ru/blog/1203623.php,220.55,223.5,224.15,224.5,222.15,220.0,218.35,218.45,217.95,219.9,224.0,224.0,220.3,224.9,223.8,226.25,225.6,225.1,224.6,222.75,222.1,221.8,220.35,221.95,217.05,213.0,212.2,208.2,208.0,209.75,205.35,220.65380739975166,0.05
MTSS,2025-09-12,13:00,"5 акций под снижение ключевой ставки от аналитиков Газпромбанк Инвестиции: Т-Технологии, Мать и Дитя, Транснефть, Ленэнерго-прив., МТС",https://smart-lab.ru/blog/1204083.php,219.45,220.0,223.5,224.15,224.5,222.15,220.0,218.35,218.45,217.95,219.9,224.0,224.0,220.3,224.9,223.8,226.25,225.6,225.1,224.6,222.75,222.1,221.8,220.35,221.95,217.05,213.0,212.2,208.2,208.0,209.75,218.86173363887133,-0.27
MTSS,2025-09-16,7:31,Российские компании публично заявили о снижении инвестпланов на 2025 г. на ₽733 млрд  — Ведомости,https://smart-lab.ru/blog/1205209.php,213.25,213.6,219.9,220.0,223.5,224.15,224.5,222.15,220.0,218.35,218.45,217.95,219.9,224.0,224.0,220.3,224.9,223.8,226.25,225.6,225.1,224.6,222.75,222.1,221.8,220.35,221.95,217.05,213.0,212.2,208.2,212.88973618858876,-0.17
MTSS,2025-10-31,11:39,"Звонки только на мобильные номера, проблемы с онлайн-доставкой и обязательный запас наличных: россияне привыкают к жизни без мобильного интернета — Ъ FM",https://smart-lab.ru/blog/1224696.php,203.8,201.65,200.3,199.0,200.65,205.45,206.4,206.95,210.5,211.3,210.3,200.25,200.2,200.65,201.2,205.2,204.7,208.65,202.75,201.0,202.5,204.35,205.05,207.55,207.8,205.95,209.25,207.5,208.45,208.1,212.2,203.62212967361114,-0.09
MTSS,2025-11-27,15:15,Российские производители телекомоборудования попросили Минцифры обязать операторов связи с 1 января 2027г закупать только отечественное радиорелейное оборудование — Ведомости || Банк России планирует проводить регулярный мониторинг и комплексную оценку рисков крупных бигтехов в целях анализа финансовой стабильности — Интерфакс || Российские производители телекомоборудования попросили Минцифры обязать операторов связи с 1 января 2027г закупать только отечественное радиорелейное оборудование — Ведомости || Банк России планирует проводить регулярный мониторинг и комплексную оценку рисков крупных бигтехов в целях анализа финансовой стабильности — Интерфакс || Российские производители телекомоборудования попросили Минцифры обязать операторов связи с 1 января 2027г закупать только отечественное радиорелейное оборудование — Ведомости || Банк России планирует проводить регулярный мониторинг и комплексную оценку рисков крупных бигтехов в целях анализа финансовой стабильности — Интерфакс,https://smart-lab.ru/blog/1235586.php || https://smart-lab.ru/blog/1235817.php || https://smart-lab.ru/blog/1235586.php || https://smart-lab.ru/blog/1235817.php || https://smart-lab.ru/blog/1235586.php || https://smart-lab.ru/blog/1235817.php,210.75,210.7,213.4,209.65,205.45,203.45,204.4,204.6,204.0,204.75,205.6,205.75,203.1,204.5,204.7,202.95,202.55,204.6,201.65,200.3,199.0,200.65,205.45,206.4,206.95,210.5,211.3,210.3,200.25,200.2,200.65,210.27399721466017,-0.23
