ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
GAZP,2025-09-08,16:51,"Структура Газпрома нашла потенциального покупателя на свои 50% акций нидерландской Wintershall Noordzee, одной из крупнейших газодобывающих компаний на голландском морском шельфе — Ведомости || Алексей Миллер: Проект поставок газа в Китай ""Сила Сибири 2"" фактически уже реализуется — Интерфакс || Начиная с 2026 года на мировом рынке СПГ ожидается многолетнее избыточное предложение — Bloomberg || Первые поставки газа в Иран начнутся через несколько месяцев, сейчас решается вопрос цены — посол Ирана в России || Правительство утвердило Концепцию развития рынка газомоторного топлива до 2035 года || Строительство газопровода Волхов-Мурманск планируется завершить в 2031 году - план развития транспортной инфраструктуры — ТАСС",https://smart-lab.ru/blog/1201959.php || https://smart-lab.ru/blog/1202061.php || https://smart-lab.ru/blog/1202087.php || https://smart-lab.ru/blog/1202148.php || https://smart-lab.ru/blog/1202285.php || https://smart-lab.ru/blog/1202295.php,133.09,130.8,132.18,132.18,134.91,135.88,133.25,135.51,133.69,132.38,132.57,131.13,135.31,137.81,139.5,142.53,140.26,139.39,140.8,140.0,141.16,134.24,130.11,125.98,125.94,121.63,122.57,121.34,122.69,122.86,126.5,133.09366957975033,0.0
GAZP,2025-09-09,18:03,"Венгрия подпишет новый контракт на поставку газа с Shell, заявил глава МИД Сийярто — Reuters || Стоимость строительства участков ""Силы Сибири-2"", проходящих через Россию и Монголию, может составить $36 млрд — Bloomberg || Долгосрочный контракт Венгрии с американской компанией Shell на поставку газа не отменит поставок из России — Петер Сийярто",https://smart-lab.ru/blog/1202674.php || https://smart-lab.ru/blog/1202697.php || https://smart-lab.ru/blog/1202840.php,133.07,131.87,130.8,132.18,132.18,134.91,135.88,133.25,135.51,133.69,132.38,132.57,131.13,135.31,137.81,139.5,142.53,140.26,139.39,140.8,140.0,141.16,134.24,130.11,125.98,125.94,121.63,122.57,121.34,122.69,122.86,132.47519544208393,-0.45
GAZP,2025-09-11,17:59,"Европа продолжает рекордно импортировать СПГ, поставки которого в регион с начала летнего сезона в апреле превысили 62 млрд куб. м — данные GIE || ЕС намерен завершить поэтапный отказ от импорта российской нефти и газа к 2028 году —  комиссар ЕС по энергетике Дэн Йоргенсен после встречи с министром энергетики США Крисом Райтом",https://smart-lab.ru/blog/1203500.php || https://smart-lab.ru/blog/1203771.php,130.57,133.52,133.48,131.87,130.8,132.18,132.18,134.91,135.88,133.25,135.51,133.69,132.38,132.57,131.13,135.31,137.81,139.5,142.53,140.26,139.39,140.8,140.0,141.16,134.24,130.11,125.98,125.94,121.63,122.57,121.34,130.4571624993854,-0.09
GAZP,2025-09-12,12:34,"Япония с 12 сентября снижает потолок цены на российскую нефть с $60 до $47,6, но сделала исключение для поставок с проекта Сахалин-2 || Министр энергетики США Крис Райт: Азиатским странам, европейским странам и США нужно работать вместе, чтобы оказать как можно больше давления, финансового давления, на Путина",https://smart-lab.ru/blog/1203887.php || https://smart-lab.ru/blog/1204066.php,129.39,130.73,133.52,133.48,131.87,130.8,132.18,132.18,134.91,135.88,133.25,135.51,133.69,132.38,132.57,131.13,135.31,137.81,139.5,142.53,140.26,139.39,140.8,140.0,141.16,134.24,130.11,125.98,125.94,121.63,122.57,129.61570985661342,0.17
GAZP,2025-09-15,11:34,"Южная Корея в августе вдвое увеличила импорт СПГ из России — ИФ || Запасы газа в хранилищах Европы к зиме превысили 80% || Финансовая нагрузка на Газпром от реализации Силы Сибири-2 будет очень высокой — аналитики, опрошенные Ъ",https://smart-lab.ru/blog/1204733.php || https://smart-lab.ru/blog/1204782.php || https://smart-lab.ru/blog/1204854.php,125.09,130.02,130.73,133.52,133.48,131.87,130.8,132.18,132.18,134.91,135.88,133.25,135.51,133.69,132.38,132.57,131.13,135.31,137.81,139.5,142.53,140.26,139.39,140.8,140.0,141.16,134.24,130.11,125.98,125.94,121.63,125.27757284074522,0.15
GAZP,2025-09-16,7:31,Российские компании публично заявили о снижении инвестпланов на 2025 г. на ₽733 млрд  — Ведомости,https://smart-lab.ru/blog/1205209.php,124.26,125.44,130.02,130.73,133.52,133.48,131.87,130.8,132.18,132.18,134.91,135.88,133.25,135.51,133.69,132.38,132.57,131.13,135.31,137.81,139.5,142.53,140.26,139.39,140.8,140.0,141.16,134.24,130.11,125.98,125.94,124.1255249564822,-0.11
GAZP,2025-10-31,17:09,"Россия в 2025 году стала лидером по поставкам природного газа в Китай благодаря выводу на контрактную мощность газопровода ""Сила Сибири"" — правительство || Японские энергетические компании - покупатели российского СПГ - могут обеспечить альтернативные поставки в случае прекращения поставок с Сахалин-2 — Reuters || 30 октября Газпром обновил исторический рекорд суточных поставок газа в Китай по «Силе Сибири» – в 5-й раз за месяц",https://smart-lab.ru/blog/1224675.php || https://smart-lab.ru/blog/1224726.php || https://smart-lab.ru/blog/1224880.php,116.12,116.37,116.43,115.16,116.94,117.8,119.14,120.9,126.02,124.74,124.36,115.13,115.27,115.84,115.18,116.83,114.22,118.74,119.17,115.09,116.07,116.43,118.19,117.05,120.15,117.66,118.9,117.11,119.5,120.44,122.77,115.9825542403744,-0.12
GAZP,2025-11-24,16:52,"Эрдоган в ходе планируемого сегодня телефонного разговора с Путиным намерен обсудить двустороннее сотрудничество, в том числе в энергетике || США за девять месяцев нарастили экспорт СПГ на 22% || Настоящие холода в Европу еще не пришли, а отборы газа из европейских подземных хранилищ уже бьют рекорды — Газпром || 📉Цена на природный газ в Европе впервые за год с лишним опустилась ниже 30 евро за мегаватт-час из-за роста импорта и переговоров о прекращении конфликта на Украине — Bloomberg",https://smart-lab.ru/blog/1233975.php || https://smart-lab.ru/blog/1234086.php || https://smart-lab.ru/blog/1234207.php || https://smart-lab.ru/blog/1234246.php,126.7,127.06,128.11,124.0,121.06,118.14,118.16,119.28,119.14,121.53,119.34,120.45,117.12,116.46,117.52,116.2,116.11,117.25,116.37,116.43,115.16,116.94,117.8,119.14,120.9,126.02,124.74,124.36,115.13,115.27,115.84,125.42065951368475,-1.01
