ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
RUAL,2025-09-09,10:46,Русал 15 сентября соберет заявки на облигации объемом не менее 1 млрд юаней,https://smart-lab.ru/blog/1202569.php,34.89,33.97,33.585,33.52,33.145,33.9,33.81,33.575,34.495,33.43,33.045,33.495,33.695,35.84,36.165,36.635,36.765,36.49,34.42,34.395,34.58,34.145,32.56,32.175,31.235,31.175,31.095,31.08,30.69,31.74,30.95,34.75458347929594,-0.39
RUAL,2025-09-11,17:08,"📈Алюминий сегодня ракетит на 2%, преодолев $2650 за т, вслед за ним прибавляют и котировки Русала те же заветные 2%",https://smart-lab.ru/blog/1203749.php,34.835,35.17,34.645,33.97,33.585,33.52,33.145,33.9,33.81,33.575,34.495,33.43,33.045,33.495,33.695,35.84,36.165,36.635,36.765,36.49,34.42,34.395,34.58,34.145,32.56,32.175,31.235,31.175,31.095,31.08,30.69,34.88647821332791,0.15
RUAL,2025-09-16,7:31,Российские компании публично заявили о снижении инвестпланов на 2025 г. на ₽733 млрд  — Ведомости,https://smart-lab.ru/blog/1205209.php,33.1,33.395,34.795,34.375,35.17,34.645,33.97,33.585,33.52,33.145,33.9,33.81,33.575,34.495,33.43,33.045,33.495,33.695,35.84,36.165,36.635,36.765,36.49,34.42,34.395,34.58,34.145,32.56,32.175,31.235,31.175,33.07659542337146,-0.07
