ticker,date,time,news,news_url,T,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T+1,pct_change
SNGS,2025-09-09,12:17,"МД Медикал Груп объявляет об открытии клиники репродуктивного здоровья в Сургуте — компания || Экспорт нефтепродуктов за последнюю неделю августа упал на 14–22%, что объясняется ростом простоев НПЗ и высоким внутренним спросом — Ъ",https://smart-lab.ru/blog/1202557.php || https://smart-lab.ru/blog/1202624.php,23.205,22.63,22.605,22.61,22.48,22.81,22.785,22.885,23.245,22.925,22.945,23.045,22.855,23.195,23.45,23.8,23.78,23.85,23.93,23.125,23.125,22.975,22.73,22.47,22.17,22.08,21.83,22.14,21.78,21.96,21.955,23.20398175819257,-0.0
SNGS,2025-09-11,15:12,"Россия в августе 2025г снизила добычу нефти на 30 тыс б/с м/м - до 9,28 млн б/с — Международное энергетическое агентство (МЭА) || ОПЕК: Добыча нефти в России в августе 2025г увеличилась на 50 тыс бс м/м до 9,173 млн б/с",https://smart-lab.ru/blog/1203561.php || https://smart-lab.ru/blog/1203688.php,22.975,23.19,23.15,22.63,22.605,22.61,22.48,22.81,22.785,22.885,23.245,22.925,22.945,23.045,22.855,23.195,23.45,23.8,23.78,23.85,23.93,23.125,23.125,22.975,22.73,22.47,22.17,22.08,21.83,22.14,21.78,22.834103748847483,-0.61
